x	y	z	ts
-2,105148	4,305985	8,555538	2020-11-19T14:39:52:958
-2,111571	4,302799	8,555558	2020-11-19T14:39:52:958
-2,038994	4,212619	8,617815	2020-11-19T14:39:52:958
-2,028426	4,201362	8,625800	2020-11-19T14:39:52:959
-2,027619	4,196096	8,628552	2020-11-19T14:39:52:959
-2,025953	4,186748	8,633484	2020-11-19T14:39:52:960
-2,037375	4,179184	8,634460	2020-11-19T14:39:52:960
-2,049744	4,167750	8,637059	2020-11-19T14:39:52:961
-2,028659	4,166402	8,642686	2020-11-19T14:39:52:965
-2,009573	4,152758	8,653705	2020-11-19T14:39:52:986
-1,981496	4,120022	8,675798	2020-11-19T14:39:53:005
-1,941717	4,114326	8,687488	2020-11-19T14:39:53:026
-1,900390	4,094531	8,705958	2020-11-19T14:39:53:044
-1,886536	4,047945	8,730722	2020-11-19T14:39:53:067
-1,883049	3,925126	8,787372	2020-11-19T14:39:53:085
-1,884698	3,654150	8,903116	2020-11-19T14:39:53:106
-1,833931	3,240950	9,072118	2020-11-19T14:39:53:124
-1,755086	2,760122	9,245095	2020-11-19T14:39:53:146
-1,642142	2,168602	9,421832	2020-11-19T14:39:53:164
-4,393005	4,874272	7,287891	2020-11-19T14:39:53:186
-4,659999	4,852497	7,134988	2020-11-19T14:39:53:204
-4,854261	4,824164	7,023815	2020-11-19T14:39:53:226
-4,931077	4,803019	6,984689	2020-11-19T14:39:53:244
-4,859924	4,763591	7,061141	2020-11-19T14:39:53:276
-4,602401	4,708148	7,267849	2020-11-19T14:39:53:285
-4,179162	4,590385	7,591664	2020-11-19T14:39:53:306
-3,594506	4,235999	8,081226	2020-11-19T14:39:53:324
-2,874591	3,193905	8,815105	2020-11-19T14:39:53:347
-1,982335	0,494400	9,591470	2020-11-19T14:39:53:383
-1,295530	-3,113358	9,208636	2020-11-19T14:39:53:389
-1,113923	-7,214443	6,548387	2020-11-19T14:39:53:414
-1,684351	-8,528270	4,538939	2020-11-19T14:39:53:480
-2,423902	-8,783965	3,624505	2020-11-19T14:39:53:481
