x	y	z	ts
1,977488	-3,056616	0,611324	2020-10-29T19:45:22:162
0,094524	0,004270	-0,183099	2020-10-29T19:45:22:163
-0,095485	0,174894	-0,193377	2020-10-29T19:45:22:163
-0,067365	-0,077294	-0,084071	2020-10-29T19:45:22:163
-0,137085	0,042323	-0,128252	2020-10-29T19:45:22:164
-0,182621	0,117246	-0,221254	2020-10-29T19:45:22:170
-0,072551	0,011962	-0,264324	2020-10-29T19:45:22:188
-0,277730	0,036605	-0,217710	2020-10-29T19:45:22:220
-0,275391	0,023260	-0,207597	2020-10-29T19:45:22:231
-0,354842	0,085325	-0,191380	2020-10-29T19:45:22:250
-0,445122	0,095613	-0,103388	2020-10-29T19:45:22:270
-0,328663	0,172875	-0,221223	2020-10-29T19:45:22:289
-0,365130	0,346631	-0,344800	2020-10-29T19:45:22:310
-0,512606	0,370921	-0,481392	2020-10-29T19:45:22:331
-0,587702	0,221263	-0,470760	2020-10-29T19:45:22:349
-0,715883	0,116239	-0,266036	2020-10-29T19:45:22:370
-0,785333	0,072662	-0,233928	2020-10-29T19:45:22:389
-0,687613	0,031206	-0,274796	2020-10-29T19:45:22:410
-0,593298	0,118632	-0,408511	2020-10-29T19:45:22:430
-0,415173	0,008558	-0,633673	2020-10-29T19:45:22:450
-0,268195	0,195322	-0,774226	2020-10-29T19:45:22:469
-0,304030	0,182445	-1,167077	2020-10-29T19:45:22:489
-0,244036	0,142056	-1,601163	2020-10-29T19:45:22:510
-0,260964	0,665793	-1,781442	2020-10-29T19:45:22:530
-1,065947	-0,176717	-1,902919	2020-10-29T19:45:22:549
1,305963	-1,179924	-2,694085	2020-10-29T19:45:22:571
2,963666	1,689769	-4,037580	2020-10-29T19:45:22:589
-2,704322	0,752917	-1,945525	2020-10-29T19:45:22:610
-2,037766	-1,080724	-2,816303	2020-10-29T19:45:22:630
-0,604549	-2,583893	-3,232224	2020-10-29T19:45:22:650
-1,116638	-3,260230	-3,230134	2020-10-29T19:45:22:670
-1,610339	-3,303751	-3,206012	2020-10-29T19:45:22:690
-1,200670	-2,538336	-3,474448	2020-10-29T19:45:22:710
-1,264791	-2,136136	-3,442685	2020-10-29T19:45:22:730
-1,247172	-2,830114	-3,053259	2020-10-29T19:45:22:750
-0,866241	-4,022968	-2,359892	2020-10-29T19:45:22:770
-0,583786	-4,714563	-1,611765	2020-10-29T19:45:22:790
-0,056157	-4,755082	-1,081419	2020-10-29T19:45:22:810
0,703027	-5,325552	-0,770854	2020-10-29T19:45:22:830
1,791802	-7,167339	-0,051272	2020-10-29T19:45:22:850
2,955933	-8,413425	1,020970	2020-10-29T19:45:22:870
4,852711	-10,409693	1,929599	2020-10-29T19:45:22:890
6,783247	-14,084857	3,350534	2020-10-29T19:45:22:959
6,893841	-13,696301	3,817524	2020-10-29T19:45:22:960
6,898214	-12,272475	4,933816	2020-10-29T19:45:22:961
6,997999	-10,607588	5,228618	2020-10-29T19:45:22:973
7,770881	-9,054646	4,087242	2020-10-29T19:45:22:995
10,088230	-10,011189	3,599100	2020-10-29T19:45:23:016
11,268051	-12,115150	3,312228	2020-10-29T19:45:23:032
10,831312	-13,560860	3,687346	2020-10-29T19:45:23:051
9,381262	-13,446004	4,039091	2020-10-29T19:45:23:069
8,796812	-13,029832	3,904186	2020-10-29T19:45:23:090
8,426693	-12,470142	3,700030	2020-10-29T19:45:23:110
7,746150	-11,807522	3,985821	2020-10-29T19:45:23:130
6,806838	-11,318058	4,156543	2020-10-29T19:45:23:150
5,785785	-10,929136	4,327512	2020-10-29T19:45:23:170
4,822937	-10,592489	4,436143	2020-10-29T19:45:23:190
3,728896	-10,628685	4,135654	2020-10-29T19:45:23:211
2,799218	-10,552178	3,611100	2020-10-29T19:45:23:231
1,944731	-10,633040	3,542475	2020-10-29T19:45:23:250
1,673167	-10,797529	3,604164	2020-10-29T19:45:23:271
1,910289	-11,038960	3,138622	2020-10-29T19:45:23:291
2,318082	-10,779876	3,128055	2020-10-29T19:45:23:311
2,377307	-9,883026	2,988772	2020-10-29T19:45:23:331
2,228137	-9,026899	3,054944	2020-10-29T19:45:23:351
1,874570	-8,516819	2,539243	2020-10-29T19:45:23:371
1,585369	-8,496789	2,203699	2020-10-29T19:45:23:392
1,276776	-8,933496	2,026921	2020-10-29T19:45:23:411
1,060555	-9,370657	2,754009	2020-10-29T19:45:23:432
1,173218	-8,690308	3,062509	2020-10-29T19:45:23:451
1,593961	-5,827028	3,269109	2020-10-29T19:45:23:472
1,851551	-1,246536	3,017646	2020-10-29T19:45:23:492
1,314381	0,267012	2,794888	2020-10-29T19:45:23:514
1,124427	-1,545225	0,953935	2020-10-29T19:45:23:532
1,958675	-3,804171	0,266352	2020-10-29T19:45:23:553
2,478213	-4,668210	-0,781441	2020-10-29T19:45:23:570
1,358374	-4,804601	-0,812548	2020-10-29T19:45:23:592
0,323687	-4,045044	-0,776527	2020-10-29T19:45:23:611
-0,162112	-3,482250	-0,872655	2020-10-29T19:45:23:634
-0,594784	-2,914795	-1,050722	2020-10-29T19:45:23:652
-1,144662	-2,213883	-1,143103	2020-10-29T19:45:23:673
-1,532669	-1,652457	-1,291053	2020-10-29T19:45:23:693
-1,589853	-1,380125	-1,338474	2020-10-29T19:45:23:714
-1,478405	-0,879135	-1,353114	2020-10-29T19:45:23:733
-1,503676	-0,736821	-1,015698	2020-10-29T19:45:23:754
-1,484161	-0,779269	-0,881902	2020-10-29T19:45:23:774
-1,277290	-0,950455	-0,962403	2020-10-29T19:45:23:793
-1,196141	-0,845699	-1,035171	2020-10-29T19:45:23:813
-1,225958	-0,916514	-1,000597	2020-10-29T19:45:23:840
-0,912880	0,361721	1,226880	2020-10-29T19:45:31:131
-1,226689	0,150457	1,468712	2020-10-29T19:45:31:132
-0,993886	-1,934999	2,609681	2020-10-29T19:45:31:133
-0,526335	-2,837313	3,594691	2020-10-29T19:45:31:150
-0,732945	-1,795145	3,592635	2020-10-29T19:45:31:168
-1,128320	-1,148165	2,647615	2020-10-29T19:45:31:188
-1,325800	-1,840750	1,976339	2020-10-29T19:45:31:206
-1,027888	-2,593192	1,330685	2020-10-29T19:45:31:230
-0,274592	-2,804835	0,882886	2020-10-29T19:45:31:244
0,167189	-2,901690	0,685325	2020-10-29T19:45:31:268
0,524520	-3,138582	0,425935	2020-10-29T19:45:31:286
0,716293	-2,757888	-0,165603	2020-10-29T19:45:31:311
0,593185	-2,137668	-0,722786	2020-10-29T19:45:31:327
0,205045	-1,571919	-0,870433	2020-10-29T19:45:31:349
-0,200341	-1,046922	-0,815298	2020-10-29T19:45:31:366
-0,477176	-0,507453	-0,734053	2020-10-29T19:45:31:390
-0,646290	-0,556727	-0,537014	2020-10-29T19:45:31:407
-0,705848	-0,732825	-0,378236	2020-10-29T19:45:31:429
-0,820569	-0,521779	-0,342271	2020-10-29T19:45:31:446
-0,907303	-0,398540	-0,472980	2020-10-29T19:45:31:469
-1,343675	-0,142028	-0,590517	2020-10-29T19:45:31:486
-1,874646	0,713474	-0,356483	2020-10-29T19:45:31:509
-2,404003	0,794055	-0,034613	2020-10-29T19:45:31:527
-2,443285	-0,226809	0,227052	2020-10-29T19:45:31:550
-2,117380	-1,742258	0,371800	2020-10-29T19:45:31:566
-1,924087	-2,720738	0,272825	2020-10-29T19:45:31:589
-1,568681	-3,140949	0,041519	2020-10-29T19:45:31:606
-0,830885	-2,975336	-0,433120	2020-10-29T19:45:31:630
6,166363	1,946789	-2,397407	2020-10-29T19:45:31:647
11,926540	1,124679	-1,773331	2020-10-29T19:45:31:669
10,959768	-0,095653	-0,877730	2020-10-29T19:45:31:688
3,339758	1,786403	0,495103	2020-10-29T19:45:31:710
0,702641	1,952082	-0,002153	2020-10-29T19:45:31:726
0,881833	2,071878	-0,432598	2020-10-29T19:45:31:749
2,405379	2,054715	-0,502238	2020-10-29T19:45:31:766
3,677615	1,860049	-0,221715	2020-10-29T19:45:31:790
4,154752	1,854760	0,002545	2020-10-29T19:45:31:807
4,417548	1,733807	-0,363685	2020-10-29T19:45:31:829
4,666104	1,741663	-1,134084	2020-10-29T19:45:31:847
4,760390	1,771111	-1,795719	2020-10-29T19:45:31:870
5,260120	1,642630	-1,963697	2020-10-29T19:45:31:888
6,065156	2,328394	-1,562210	2020-10-29T19:45:31:909
6,855171	3,441992	-1,794976	2020-10-29T19:45:31:927
7,617209	3,426327	-2,677079	2020-10-29T19:45:31:949
7,548812	2,891445	-2,745949	2020-10-29T19:45:31:967
7,195110	1,966065	-1,423138	2020-10-29T19:45:31:990
7,705399	0,800106	-0,412186	2020-10-29T19:45:32:007
0,261580	-1,881159	2,805749	2020-10-29T19:45:32:030
-0,069123	-0,918648	2,133003	2020-10-29T19:45:32:047
-0,354050	-0,624048	1,769636	2020-10-29T19:45:32:069
-0,502504	-0,072101	1,302522	2020-10-29T19:45:32:087
-0,475264	0,073027	0,519419	2020-10-29T19:45:32:110
-0,771441	0,348873	-0,786155	2020-10-29T19:45:32:129
-0,955163	0,081979	-1,190990	2020-10-29T19:45:32:151
-0,629756	-1,014400	0,362776	2020-10-29T19:45:32:167
