v1	v2	v3	v4	ts
1002,398254	90,740967	28,920000	1002,429932	2020-10-29T19:45:22:331
1002,397644	90,746254	28,920000	1002,392090	2020-10-29T19:45:22:571
1002,398865	90,735687	28,920000	1002,409912	2020-10-29T19:45:22:811
1002,400879	90,717194	28,910000	1002,418945	2020-10-29T19:45:23:051
1002,401733	90,711906	28,920000	1002,409424	2020-10-29T19:45:23:291
1002,400696	90,719833	28,920000	1002,391357	2020-10-29T19:45:23:532
1002,402100	90,709267	28,920000	1002,415039	2020-10-29T19:45:23:774
1002,403809	90,693413	28,920000	1002,419189	2020-10-29T19:45:31:131
1002,406433	90,672272	28,930000	1002,429932	2020-10-29T19:45:31:132
1002,409302	90,645851	28,920000	1002,434814	2020-10-29T19:45:31:133
1002,409546	90,645851	28,930000	1002,411621	2020-10-29T19:45:31:133
1002,407104	90,666985	28,920000	1002,385254	2020-10-29T19:45:31:144
1002,406067	90,674911	28,930000	1002,396729	2020-10-29T19:45:31:144
1002,405579	90,677559	28,930000	1002,400879	2020-10-29T19:45:31:145
1002,404419	90,688126	28,930000	1002,394043	2020-10-29T19:45:31:145
1002,408386	90,656418	28,930000	1002,444336	2020-10-29T19:45:31:145
1002,409180	90,648491	28,930000	1002,416260	2020-10-29T19:45:31:145
1002,408142	90,656418	28,930000	1002,398926	2020-10-29T19:45:31:146
1002,408386	90,656418	28,939999	1002,410400	2020-10-29T19:45:31:147
1002,409180	90,648491	28,939999	1002,416016	2020-10-29T19:45:31:147
1002,408508	90,653778	28,939999	1002,402588	2020-10-29T19:45:31:147
1002,411011	90,632637	28,939999	1002,433350	2020-10-29T19:45:31:147
1002,413879	90,608856	28,939999	1002,439697	2020-10-29T19:45:31:147
1002,414917	90,600929	28,939999	1002,423828	2020-10-29T19:45:31:147
1002,416138	90,590363	28,939999	1002,427002	2020-10-29T19:45:31:148
1002,414368	90,606216	28,939999	1002,398438	2020-10-29T19:45:31:148
1002,413147	90,614143	28,939999	1002,401855	2020-10-29T19:45:31:148
1002,411011	90,632637	28,939999	1002,391846	2020-10-29T19:45:31:148
1002,407043	90,666985	28,939999	1002,371582	2020-10-29T19:45:31:148
1002,406128	90,674911	28,939999	1002,397949	2020-10-29T19:45:31:148
1002,407837	90,659058	28,949999	1002,423340	2020-10-29T19:45:31:148
1002,409851	90,643204	28,949999	1002,427734	2020-10-29T19:45:31:149
1002,411194	90,632637	28,949999	1002,423340	2020-10-29T19:45:31:149
1002,409912	90,643204	28,939999	1002,398193	2020-10-29T19:45:31:149
1002,408936	90,651131	28,949999	1002,400146	2020-10-29T19:45:31:149
1002,410645	90,635277	28,949999	1002,426025	2020-10-29T19:45:31:149
1002,409607	90,645851	28,949999	1002,400146	2020-10-29T19:45:31:150
1002,411316	90,629997	28,939999	1002,426270	2020-10-29T19:45:31:169
1002,410217	90,640564	28,949999	1002,400391	2020-10-29T19:45:31:407
1002,410522	90,637924	28,949999	1002,413330	2020-10-29T19:45:31:648
1002,413757	90,608856	28,949999	1002,442871	2020-10-29T19:45:31:888
1002,416077	90,590363	28,939999	1002,437012	2020-10-29T19:45:32:129
1002,415466	90,595642	28,949999	1002,410156	2020-10-29T19:45:32:369
1002,419189	90,563934	28,949999	1002,452881	2020-10-29T19:45:32:610
1002,422852	90,532234	28,949999	1002,456055	2020-10-29T19:45:32:849
1002,426514	90,503166	28,949999	1002,459717	2020-10-29T19:45:33:092
1002,428650	90,484673	28,949999	1002,447998	2020-10-29T19:45:33:330
1002,432861	90,450317	28,959999	1002,470459	2020-10-29T19:45:33:571
1002,434387	90,437111	28,949999	1002,447998	2020-10-29T19:45:33:810
1002,438477	90,402756	28,949999	1002,475098	2020-10-29T19:45:34:050
1002,442139	90,371056	28,949999	1002,475342	2020-10-29T19:45:34:291
1002,442932	90,365768	28,959999	1002,450439	2020-10-29T19:45:34:531
1002,442993	90,365768	28,949999	1002,443848	2020-10-29T19:45:34:772
1002,440308	90,386902	28,959999	1002,416016	2020-10-29T19:45:35:012
1002,439270	90,394829	28,959999	1002,430176	2020-10-29T19:45:35:251
1002,437134	90,413330	28,959999	1002,417725	2020-10-29T19:45:35:493
1002,436157	90,421257	28,959999	1002,427002	2020-10-29T19:45:35:732
1002,434570	90,434464	28,959999	1002,420410	2020-10-29T19:45:35:974
1002,430908	90,466171	28,959999	1002,397705	2020-10-29T19:45:36:212
1002,428833	90,482025	28,969999	1002,410156	2020-10-29T19:45:36:454
1002,427368	90,495239	28,959999	1002,414307	2020-10-29T19:45:36:694
1002,426697	90,500526	28,969999	1002,420410	2020-10-29T19:45:36:934
1002,427856	90,492599	28,969999	1002,437988	2020-10-29T19:45:37:173
1002,424316	90,521660	28,959999	1002,392578	2020-10-29T19:45:37:414
1002,425415	90,511093	28,969999	1002,434814	2020-10-29T19:45:37:655
1002,425415	90,511093	28,969999	1002,425537	2020-10-29T19:45:37:895
1002,424072	90,524307	28,959999	1002,411621	2020-10-29T19:45:38:137
1002,422852	90,532234	28,969999	1002,412109	2020-10-29T19:45:38:375
1002,421753	90,542801	28,969999	1002,411621	2020-10-29T19:45:38:616
1002,419495	90,561295	28,969999	1002,398926	2020-10-29T19:45:38:856
1002,421875	90,542801	28,959999	1002,443115	2020-10-29T19:45:39:096
1002,422485	90,537514	28,969999	1002,427490	2020-10-29T19:45:39:338
1002,423645	90,526947	28,969999	1002,434082	2020-10-29T19:45:39:577
1002,423584	90,526947	28,969999	1002,422607	2020-10-29T19:45:39:817
1002,423889	90,524307	28,969999	1002,426270	2020-10-29T19:45:40:058
1002,423523	90,526947	28,969999	1002,420654	2020-10-29T19:45:40:298
1002,422302	90,537514	28,969999	1002,411133	2020-10-29T19:45:40:538
