x	y	z	ts
4,410000	9,660000	-2,450000	2020-10-29T19:48:34:581
4,410000	9,660000	-2,450000	2020-10-29T19:48:34:581
-12,460000	-35,420002	4,550000	2020-10-29T19:48:34:582
-3,150000	-1,120000	1,750000	2020-10-29T19:48:34:582
-3,010000	2,030000	1,400000	2020-10-29T19:48:34:590
-3,430000	1,820000	1,680000	2020-10-29T19:48:34:607
-3,780000	2,170000	0,630000	2020-10-29T19:48:34:628
-2,240000	4,970000	0,280000	2020-10-29T19:48:34:647
-2,450000	5,460000	0,140000	2020-10-29T19:48:34:668
-3,290000	5,880000	-0,840000	2020-10-29T19:48:34:687
-3,640000	6,650000	-0,840000	2020-10-29T19:48:34:708
-5,670000	6,580000	-0,630000	2020-10-29T19:48:34:727
-7,070000	6,790000	-0,210000	2020-10-29T19:48:34:748
-9,240000	8,890000	-0,350000	2020-10-29T19:48:34:768
-14,140000	12,110000	0,350000	2020-10-29T19:48:34:788
-22,540001	15,680000	-0,560000	2020-10-29T19:48:34:807
-29,260000	24,150000	0,350000	2020-10-29T19:48:34:828
-40,459999	36,400002	-2,520000	2020-10-29T19:48:34:847
-71,889999	43,119999	-12,810000	2020-10-29T19:48:34:868
-121,169998	31,290001	5,670000	2020-10-29T19:48:34:887
-160,020004	14,700000	-27,440001	2020-10-29T19:48:34:908
-178,990005	8,750000	-27,299999	2020-10-29T19:48:34:927
-192,570007	14,770000	-26,880001	2020-10-29T19:48:34:948
-202,160004	23,030001	-19,670000	2020-10-29T19:48:34:968
-210,210007	30,170000	-8,330000	2020-10-29T19:48:34:988
-215,809998	37,939999	6,300000	2020-10-29T19:48:35:008
-215,949997	46,970001	23,799999	2020-10-29T19:48:35:028
-214,550003	57,610001	45,500000	2020-10-29T19:48:35:047
-218,470001	70,139999	70,489998	2020-10-29T19:48:35:069
-229,600006	83,790001	96,669998	2020-10-29T19:48:35:087
-249,199997	97,650002	122,360001	2020-10-29T19:48:35:108
-293,299988	116,410004	146,160004	2020-10-29T19:48:35:127
-356,230011	137,410004	170,589996	2020-10-29T19:48:35:148
-412,160004	150,009995	195,300003	2020-10-29T19:48:35:167
-443,239990	154,350006	212,660004	2020-10-29T19:48:35:188
-406,140015	146,720001	227,290009	2020-10-29T19:48:35:207
-284,829987	114,309998	256,619995	2020-10-29T19:48:35:228
-125,020004	85,050003	285,390015	2020-10-29T19:48:35:248
22,400000	76,930000	304,220001	2020-10-29T19:48:35:269
127,470001	100,660004	305,339996	2020-10-29T19:48:35:288
170,520004	143,080002	293,579987	2020-10-29T19:48:35:308
144,970001	190,610001	275,940002	2020-10-29T19:48:35:328
44,450001	240,169998	245,770004	2020-10-29T19:48:35:348
-133,419998	292,529999	196,770004	2020-10-29T19:48:35:368
-311,290009	320,809998	149,520004	2020-10-29T19:48:35:392
-420,630005	303,239990	113,330002	2020-10-29T19:48:35:486
-473,269989	259,700012	91,349998	2020-10-29T19:48:35:488
-448,839996	215,529999	97,160004	2020-10-29T19:48:35:488
-334,459991	163,449997	99,470001	2020-10-29T19:48:35:489
-173,320007	126,209999	95,690002	2020-10-29T19:48:35:489
7,770000	112,770004	93,940002	2020-10-29T19:48:35:511
125,020004	101,989998	68,110001	2020-10-29T19:48:35:527
144,270004	81,900002	26,880001	2020-10-29T19:48:35:549
84,629997	56,840000	17,710001	2020-10-29T19:48:35:568
-21,700001	48,090000	25,760000	2020-10-29T19:48:35:588
-105,139999	52,080002	31,990000	2020-10-29T19:48:35:608
-133,350006	43,610001	32,060001	2020-10-29T19:48:35:629
-112,910004	27,930000	33,320000	2020-10-29T19:48:35:648
-51,240002	19,320000	37,799999	2020-10-29T19:48:35:670
35,139999	2,170000	39,549999	2020-10-29T19:48:35:688
124,739998	-19,809999	31,150000	2020-10-29T19:48:35:709
253,960007	-36,820000	25,830000	2020-10-29T19:48:35:729
298,690002	-59,010002	17,360001	2020-10-29T19:48:35:759
296,519989	-68,110001	4,410000	2020-10-29T19:48:35:773
258,720001	-79,029999	-11,760000	2020-10-29T19:48:35:790
204,889999	-90,510002	-27,580000	2020-10-29T19:48:35:808
147,910004	-106,750000	-43,400002	2020-10-29T19:48:35:828
92,190002	-124,320000	-60,970001	2020-10-29T19:48:35:848
42,070000	-138,250000	-79,870003	2020-10-29T19:48:35:870
-5,180000	-145,809998	-100,169998	2020-10-29T19:48:35:888
-50,330002	-146,369995	-121,870003	2020-10-29T19:48:35:910
-87,360001	-140,979996	-144,410004	2020-10-29T19:48:35:932
-115,010002	-130,550003	-163,520004	2020-10-29T19:48:35:950
-135,029999	-117,949997	-176,539993	2020-10-29T19:48:35:979
-145,740005	-108,989998	-185,710007	2020-10-29T19:48:35:991
-143,570007	-97,790001	-189,910004	2020-10-29T19:48:36:028
-127,470001	-76,860001	-184,869995	2020-10-29T19:48:36:085
-100,169998	-51,869999	-172,690002	2020-10-29T19:48:36:085
-65,800003	-30,240000	-158,690002	2020-10-29T19:48:36:085
-28,000000	-13,580000	-143,289993	2020-10-29T19:48:36:097
7,420000	-0,700000	-126,559998	2020-10-29T19:48:36:109
33,810001	10,500000	-110,250000	2020-10-29T19:48:36:129
49,980000	23,240000	-94,849998	2020-10-29T19:48:36:150
63,420002	36,400002	-76,090004	2020-10-29T19:48:36:169
75,459999	48,020000	-53,830002	2020-10-29T19:48:36:191
85,540001	57,119999	-29,750000	2020-10-29T19:48:36:211
95,059998	64,260002	-4,480000	2020-10-29T19:48:36:232
105,629997	72,309998	21,420000	2020-10-29T19:48:36:250
115,360001	81,410004	45,570000	2020-10-29T19:48:36:273
126,279999	91,419998	65,309998	2020-10-29T19:48:36:291
141,680008	105,419998	80,919998	2020-10-29T19:48:36:312
161,910004	117,529999	92,959999	2020-10-29T19:48:36:334
188,930008	121,379997	101,080002	2020-10-29T19:48:36:353
-137,690002	107,309998	-65,870003	2020-10-29T19:48:54:138
-176,539993	117,529999	-68,949997	2020-10-29T19:48:54:140
-189,210007	123,970001	-65,099998	2020-10-29T19:48:54:142
-142,309998	122,500000	-57,889999	2020-10-29T19:48:54:154
-99,680000	119,349998	-54,250000	2020-10-29T19:48:54:179
-87,709999	116,340004	-55,230000	2020-10-29T19:48:54:193
-91,070000	112,489998	-57,260002	2020-10-29T19:48:54:208
-101,290001	108,989998	-58,310001	2020-10-29T19:48:54:231
-92,750000	102,900002	-56,840000	2020-10-29T19:48:54:249
-61,320000	95,480003	-48,720001	2020-10-29T19:48:54:272
-57,049999	89,459999	-46,480000	2020-10-29T19:48:54:290
-99,889999	90,510002	-58,520000	2020-10-29T19:48:54:314
-96,180000	87,290001	-52,709999	2020-10-29T19:48:54:329
-98,279999	84,000000	-48,860001	2020-10-29T19:48:54:352
-104,230003	81,690002	-47,250000	2020-10-29T19:48:54:370
-104,160004	79,800003	-44,799999	2020-10-29T19:48:54:392
-102,900002	77,070000	-40,529999	2020-10-29T19:48:54:409
-103,739998	75,459999	-36,610001	2020-10-29T19:48:54:432
-106,889999	76,160004	-32,130001	2020-10-29T19:48:54:449
-111,230003	79,029999	-28,070000	2020-10-29T19:48:54:472
-121,520004	82,949997	-22,889999	2020-10-29T19:48:54:490
-129,500000	89,180000	-18,760000	2020-10-29T19:48:54:511
-131,949997	95,900002	-16,730000	2020-10-29T19:48:54:530
-127,750000	102,199997	-16,030001	2020-10-29T19:48:54:552
-116,480003	107,940002	-14,840000	2020-10-29T19:48:54:570
-104,720001	113,050003	-13,090000	2020-10-29T19:48:54:591
-94,150002	115,989998	-12,320000	2020-10-29T19:48:54:611
-83,720001	116,480003	-11,480000	2020-10-29T19:48:54:633
-68,389999	114,449997	-11,130000	2020-10-29T19:48:54:650
-61,389999	111,370003	-13,370000	2020-10-29T19:48:54:673
-59,290001	106,540001	-14,980000	2020-10-29T19:48:54:691
-56,209999	102,059998	-15,820000	2020-10-29T19:48:54:712
-56,349998	97,370003	-17,080000	2020-10-29T19:48:54:730
-56,279999	93,239998	-18,200001	2020-10-29T19:48:54:752
-54,529999	88,620003	-20,160000	2020-10-29T19:48:54:770
-49,139999	81,900002	-21,770000	2020-10-29T19:48:54:793
-43,400002	74,269997	-20,090000	2020-10-29T19:48:54:810
-53,410000	66,570000	-23,170000	2020-10-29T19:48:54:832
-60,619999	59,080002	-31,920000	2020-10-29T19:48:54:851
-57,610001	46,689999	-29,680000	2020-10-29T19:48:54:873
-58,240002	42,209999	-24,639999	2020-10-29T19:48:54:890
-75,040001	43,119999	-26,110001	2020-10-29T19:48:54:912
-89,599998	48,439999	-31,780001	2020-10-29T19:48:54:931
-85,750000	53,830002	-36,959999	2020-10-29T19:48:54:953
-70,489998	57,820000	-39,689999	2020-10-29T19:48:54:970
-55,650002	58,380001	-37,450001	2020-10-29T19:48:54:992
