light_level	ts
48,000000	2020-10-29T19:48:34:581
48,000000	2020-10-29T19:48:34:768
44,000000	2020-10-29T19:48:35:008
76,000000	2020-10-29T19:48:35:248
28,000000	2020-10-29T19:48:35:489
24,000000	2020-10-29T19:48:35:729
20,000000	2020-10-29T19:48:35:979
20,000000	2020-10-29T19:48:36:212
0,000000	2020-10-29T19:48:54:140
0,000000	2020-10-29T19:48:54:370
4,000000	2020-10-29T19:48:54:611
4,000000	2020-10-29T19:48:54:851
12,000000	2020-10-29T19:48:55:091
20,000000	2020-10-29T19:48:55:333
36,000000	2020-10-29T19:48:55:573
44,000000	2020-10-29T19:48:55:812
48,000000	2020-10-29T19:48:56:064
48,000000	2020-10-29T19:48:56:293
44,000000	2020-10-29T19:48:56:533
40,000000	2020-10-29T19:48:56:773
16,000000	2020-10-29T19:49:07:427
16,000000	2020-10-29T19:49:07:644
20,000000	2020-10-29T19:49:07:709
28,000000	2020-10-29T19:49:07:938
28,000000	2020-10-29T19:49:08:177
24,000000	2020-10-29T19:49:08:438
28,000000	2020-10-29T19:49:08:698
32,000000	2020-10-29T19:49:08:907
28,000000	2020-10-29T19:49:09:148
28,000000	2020-10-29T19:49:09:378
40,000000	2020-10-29T19:49:09:618
64,000000	2020-10-29T19:49:09:860
56,000000	2020-10-29T19:49:10:099
52,000000	2020-10-29T19:49:10:339
52,000000	2020-10-29T19:49:10:579
44,000000	2020-10-29T19:49:10:823
32,000000	2020-10-29T19:49:11:059
0,000000	2020-10-29T19:49:18:158
0,000000	2020-10-29T19:49:18:397
0,000000	2020-10-29T19:49:18:636
0,000000	2020-10-29T19:49:18:876
0,000000	2020-10-29T19:49:19:117
0,000000	2020-10-29T19:49:19:357
0,000000	2020-10-29T19:49:19:598
0,000000	2020-10-29T19:49:19:838
0,000000	2020-10-29T19:49:20:078
0,000000	2020-10-29T19:49:20:318
0,000000	2020-10-29T19:49:20:558
0,000000	2020-10-29T19:49:20:799
0,000000	2020-10-29T19:49:21:039
0,000000	2020-10-29T19:49:21:282
4,000000	2020-10-29T19:49:21:519
8,000000	2020-10-29T19:49:21:760
76,000000	2020-10-29T19:49:22:001
120,000000	2020-10-29T19:49:22:251
120,000000	2020-10-29T19:49:22:479
124,000000	2020-10-29T19:49:22:720
36,000000	2020-10-29T19:49:22:960
20,000000	2020-10-29T19:49:23:202
24,000000	2020-10-29T19:49:23:440
36,000000	2020-10-29T19:49:23:681
32,000000	2020-10-29T19:49:23:922
28,000000	2020-10-29T19:49:24:162
28,000000	2020-10-29T19:49:24:403
20,000000	2020-10-29T19:49:24:643
16,000000	2020-10-29T19:49:24:899
16,000000	2020-10-29T19:49:25:123
12,000000	2020-10-29T19:49:25:362
