light_intensity	ts
2097152,000000	2020-11-19T14:35:16:406
2097152,000000	2020-11-19T14:35:16:407
2527891,000000	2020-11-19T14:35:16:447
2528399,000000	2020-11-19T14:35:16:486
2528796,000000	2020-11-19T14:35:16:526
2528827,000000	2020-11-19T14:35:16:566
2528404,000000	2020-11-19T14:35:16:607
2527704,000000	2020-11-19T14:35:16:647
2527191,000000	2020-11-19T14:35:16:686
2527300,000000	2020-11-19T14:35:16:727
2527435,000000	2020-11-19T14:35:16:767
2125398,000000	2020-11-19T14:35:16:807
2125483,000000	2020-11-19T14:35:16:847
2125097,000000	2020-11-19T14:35:16:887
2124569,000000	2020-11-19T14:35:16:927
2123973,000000	2020-11-19T14:35:16:968
2085480,000000	2020-11-19T14:35:17:007
2083656,000000	2020-11-19T14:35:17:047
2081551,000000	2020-11-19T14:35:17:089
2079153,000000	2020-11-19T14:35:17:200
2076254,000000	2020-11-19T14:35:17:200
2036668,000000	2020-11-19T14:35:17:214
2030322,000000	2020-11-19T14:35:17:258
2021301,000000	2020-11-19T14:35:17:287
2007636,000000	2020-11-19T14:35:17:327
1992899,000000	2020-11-19T14:35:17:368
2063911,000000	2020-11-19T14:35:17:408
2053269,000000	2020-11-19T14:35:17:449
2043693,000000	2020-11-19T14:35:17:488
2034916,000000	2020-11-19T14:35:17:527
2026079,000000	2020-11-19T14:35:17:580
2015643,000000	2020-11-19T14:35:17:609
2005681,000000	2020-11-19T14:35:17:656
1996226,000000	2020-11-19T14:35:17:777
1986632,000000	2020-11-19T14:35:17:778
1978096,000000	2020-11-19T14:35:17:778
1969863,000000	2020-11-19T14:35:17:808
1963182,000000	2020-11-19T14:35:17:850
1957243,000000	2020-11-19T14:35:17:890
1951414,000000	2020-11-19T14:35:17:929
1946603,000000	2020-11-19T14:35:17:969
1938034,000000	2020-11-19T14:35:18:009
1925795,000000	2020-11-19T14:35:18:050
1911539,000000	2020-11-19T14:35:18:090
1901646,000000	2020-11-19T14:35:18:129
1894714,000000	2020-11-19T14:35:18:169
1890653,000000	2020-11-19T14:35:18:209
1887952,000000	2020-11-19T14:35:18:250
1883979,000000	2020-11-19T14:35:18:290
1879330,000000	2020-11-19T14:35:18:329
